username, total, <= 100, <= 200, <= 300, <= 400, <= 500, > 500
BrennerRios - 3 - 2 - 1 - 0 - 0 - 0 - 0
LucioT - 3 - 1 - 1 - 0 - 0 - 1 - 0
victorlisboa - 3 - 1 - 1 - 1 - 0 - 0 - 0
juniors719 - 3 - 1 - 1 - 0 - 1 - 0 - 0
Endy_Melo - 3 - 1 - 1 - 1 - 0 - 0 - 0
kauajuno - 3 - 1 - 1 - 1 - 0 - 0 - 0
mmarchesotti - 3 - 1 - 1 - 1 - 0 - 0 - 0
MalthusCLoko - 3 - 2 - 1 - 0 - 0 - 0 - 0
nszchagas - 3 - 1 - 0 - 2 - 0 - 0 - 0
peteridophyta - 3 - 1 - 1 - 0 - 1 - 0 - 0
alexnaar - 3 - 1 - 1 - 1 - 0 - 0 - 0
alvimpaulo - 3 - 2 - 1 - 0 - 0 - 0 - 0
miumiu_ - 3 - 1 - 1 - 1 - 0 - 0 - 0
stharley - 3 - 2 - 1 - 0 - 0 - 0 - 0
BRRRENO - 3 - 3 - 0 - 0 - 0 - 0 - 0
JhonataM - 3 - 1 - 1 - 1 - 0 - 0 - 0
felipeanibal - 3 - 1 - 1 - 1 - 0 - 0 - 0
sam95 - 3 - 2 - 1 - 0 - 0 - 0 - 0
iPNX - 3 - 1 - 1 - 1 - 0 - 0 - 0
lelocb - 3 - 2 - 1 - 0 - 0 - 0 - 0
FelipeNunes - 3 - 3 - 0 - 0 - 0 - 0 - 0
Kalebe - 3 - 3 - 0 - 0 - 0 - 0 - 0
ArthurAm30 - 3 - 3 - 0 - 0 - 0 - 0 - 0
abacaxiguy - 3 - 2 - 1 - 0 - 0 - 0 - 0
kabalmk - 3 - 2 - 1 - 0 - 0 - 0 - 0
LiviaVS - 3 - 2 - 1 - 0 - 0 - 0 - 0
RicardoM - 3 - 1 - 1 - 1 - 0 - 0 - 0
Sharkgu - 3 - 3 - 0 - 0 - 0 - 0 - 0
eduardonakanishi - 3 - 1 - 1 - 0 - 1 - 0 - 0
liedson - 3 - 2 - 0 - 0 - 1 - 0 - 0
liviamayumi - 3 - 3 - 0 - 0 - 0 - 0 - 0
WeakestTopology - 2 - 0 - 0 - 0 - 0 - 1 - 1
Ovelha - 2 - 0 - 0 - 0 - 0 - 0 - 2
rosklin - 2 - 0 - 0 - 2 - 0 - 0 - 0
daniiel - 2 - 1 - 1 - 0 - 0 - 0 - 0
will_br - 2 - 1 - 1 - 0 - 0 - 0 - 0
a253 - 2 - 0 - 0 - 1 - 1 - 0 - 0
XicoDeAltos - 2 - 1 - 1 - 0 - 0 - 0 - 0
Luan - 2 - 1 - 1 - 0 - 0 - 0 - 0
LucasAmaral - 2 - 1 - 1 - 0 - 0 - 0 - 0
thiagovisk - 2 - 2 - 0 - 0 - 0 - 0 - 0
Tsunemori - 2 - 1 - 0 - 1 - 0 - 0 - 0
vainamoinen - 2 - 1 - 1 - 0 - 0 - 0 - 0
Teixeira - 2 - 1 - 1 - 0 - 0 - 0 - 0
Fause - 2 - 2 - 0 - 0 - 0 - 0 - 0
Ijipmap - 2 - 1 - 1 - 0 - 0 - 0 - 0
bigode - 2 - 2 - 0 - 0 - 0 - 0 - 0
HoracinhoTheMAGE - 2 - 1 - 0 - 1 - 0 - 0 - 0
Junj - 2 - 1 - 1 - 0 - 0 - 0 - 0
Kelriel - 2 - 1 - 1 - 0 - 0 - 0 - 0
pedrobatista - 2 - 2 - 0 - 0 - 0 - 0 - 0
d4vi - 2 - 1 - 1 - 0 - 0 - 0 - 0
Clepsydris - 2 - 1 - 1 - 0 - 0 - 0 - 0
geovannacas - 2 - 1 - 0 - 1 - 0 - 0 - 0
yra61 - 2 - 1 - 1 - 0 - 0 - 0 - 0
Andersons - 2 - 1 - 1 - 0 - 0 - 0 - 0
Luid - 2 - 2 - 0 - 0 - 0 - 0 - 0
jlalbuquerq - 2 - 1 - 1 - 0 - 0 - 0 - 0
lorenzo7377 - 2 - 2 - 0 - 0 - 0 - 0 - 0
marceloaraujo - 2 - 1 - 1 - 0 - 0 - 0 - 0
euyogi - 2 - 1 - 1 - 0 - 0 - 0 - 0
Motinha - 2 - 1 - 1 - 0 - 0 - 0 - 0
raiky_sahb - 2 - 1 - 1 - 0 - 0 - 0 - 0
RuanASRamos - 2 - 1 - 1 - 0 - 0 - 0 - 0
brunod - 2 - 1 - 1 - 0 - 0 - 0 - 0
caiozim112 - 2 - 1 - 0 - 1 - 0 - 0 - 0
Bruna - 2 - 1 - 1 - 0 - 0 - 0 - 0
entusiasta - 2 - 1 - 1 - 0 - 0 - 0 - 0
felipecosta11 - 2 - 2 - 0 - 0 - 0 - 0 - 0
pedrobarbosaocb - 2 - 2 - 0 - 0 - 0 - 0 - 0
Chaotzu - 2 - 2 - 0 - 0 - 0 - 0 - 0
Fig_ac - 2 - 1 - 1 - 0 - 0 - 0 - 0
lattaro - 2 - 2 - 0 - 0 - 0 - 0 - 0
ArturPP - 2 - 1 - 0 - 0 - 1 - 0 - 0
herman2112 - 2 - 2 - 0 - 0 - 0 - 0 - 0
leosigomes - 2 - 2 - 0 - 0 - 0 - 0 - 0
linley - 2 - 1 - 1 - 0 - 0 - 0 - 0
xdryanxd - 2 - 1 - 1 - 0 - 0 - 0 - 0
Joao_lucas_kojac - 1 - 0 - 0 - 1 - 0 - 0 - 0
jglpaz - 1 - 1 - 0 - 0 - 0 - 0 - 0
MarceloSpe - 1 - 0 - 0 - 1 - 0 - 0 - 0
desgrassado - 1 - 1 - 0 - 0 - 0 - 0 - 0
ViiniciusK9 - 1 - 1 - 0 - 0 - 0 - 0 - 0
avio11 - 1 - 1 - 0 - 0 - 0 - 0 - 0
gabrielccac - 1 - 1 - 0 - 0 - 0 - 0 - 0
ypp - 1 - 1 - 0 - 0 - 0 - 0 - 0
GabrielPortela - 1 - 0 - 0 - 0 - 0 - 0 - 1
thiagomm - 1 - 1 - 0 - 0 - 0 - 0 - 0
esteroli - 1 - 1 - 0 - 0 - 0 - 0 - 0
MarioSantos - 1 - 1 - 0 - 0 - 0 - 0 - 0
dupolo - 1 - 1 - 0 - 0 - 0 - 0 - 0
froth - 1 - 1 - 0 - 0 - 0 - 0 - 0
VitoTheTito - 1 - 1 - 0 - 0 - 0 - 0 - 0
gnery15 - 1 - 1 - 0 - 0 - 0 - 0 - 0
jorgelwyz - 1 - 1 - 0 - 0 - 0 - 0 - 0
GuilhermeG20 - 1 - 1 - 0 - 0 - 0 - 0 - 0
daniso123 - 1 - 1 - 0 - 0 - 0 - 0 - 0
giuliamachado - 1 - 1 - 0 - 0 - 0 - 0 - 0
Quenom - 1 - 1 - 0 - 0 - 0 - 0 - 0
hannanhunny01 - 1 - 1 - 0 - 0 - 0 - 0 - 0
jooarago - 1 - 1 - 0 - 0 - 0 - 0 - 0
bambu_espectral - 1 - 1 - 0 - 0 - 0 - 0 - 0
luisademelo - 1 - 1 - 0 - 0 - 0 - 0 - 0
BabelFerreira - 1 - 1 - 0 - 0 - 0 - 0 - 0
Galill_ - 1 - 1 - 0 - 0 - 0 - 0 - 0
Mrdoos - 1 - 0 - 0 - 0 - 0 - 0 - 1
VanessaCarvalho - 1 - 1 - 0 - 0 - 0 - 0 - 0
VictorZaca - 1 - 0 - 0 - 1 - 0 - 0 - 0
NeymarJr10 - 0 - 0 - 0 - 0 - 0 - 0 - 0
bfs07 - 0 - 0 - 0 - 0 - 0 - 0 - 0
Policarpo - 0 - 0 - 0 - 0 - 0 - 0 - 0
Resende - 0 - 0 - 0 - 0 - 0 - 0 - 0
lcs147 - 0 - 0 - 0 - 0 - 0 - 0 - 0
jlrterceiro - 0 - 0 - 0 - 0 - 0 - 0 - 0
kak4shi - 0 - 0 - 0 - 0 - 0 - 0 - 0
ronisds - 0 - 0 - 0 - 0 - 0 - 0 - 0
SchF_ - 0 - 0 - 0 - 0 - 0 - 0 - 0
uLo - 0 - 0 - 0 - 0 - 0 - 0 - 0
wnmrmr - 0 - 0 - 0 - 0 - 0 - 0 - 0
Caiogoia - 0 - 0 - 0 - 0 - 0 - 0 - 0
RPChe_ - 0 - 0 - 0 - 0 - 0 - 0 - 0
Pulgster - 0 - 0 - 0 - 0 - 0 - 0 - 0
rogerp4ssos - 0 - 0 - 0 - 0 - 0 - 0 - 0
matheusataidee - 0 - 0 - 0 - 0 - 0 - 0 - 0
t0nhou - 0 - 0 - 0 - 0 - 0 - 0 - 0
kesp - 0 - 0 - 0 - 0 - 0 - 0 - 0
guilhermecsz - 0 - 0 - 0 - 0 - 0 - 0 - 0
saideira - 0 - 0 - 0 - 0 - 0 - 0 - 0
r4cky - 0 - 0 - 0 - 0 - 0 - 0 - 0
anascimento - 0 - 0 - 0 - 0 - 0 - 0 - 0
belli49 - 0 - 0 - 0 - 0 - 0 - 0 - 0
emmenezes - 0 - 0 - 0 - 0 - 0 - 0 - 0
caixzn - 0 - 0 - 0 - 0 - 0 - 0 - 0
iurisevero - 0 - 0 - 0 - 0 - 0 - 0 - 0
jvf - 0 - 0 - 0 - 0 - 0 - 0 - 0
GMAF - 0 - 0 - 0 - 0 - 0 - 0 - 0
matheusraphael - 0 - 0 - 0 - 0 - 0 - 0 - 0
HB_fga - 0 - 0 - 0 - 0 - 0 - 0 - 0
trassis - 0 - 0 - 0 - 0 - 0 - 0 - 0
murilogds - 0 - 0 - 0 - 0 - 0 - 0 - 0
Rafaelpanisset - 0 - 0 - 0 - 0 - 0 - 0 - 0
italo_vinixius - 0 - 0 - 0 - 0 - 0 - 0 - 0
lucas229 - 0 - 0 - 0 - 0 - 0 - 0 - 0
danielportods - 0 - 0 - 0 - 0 - 0 - 0 - 0
Xilsu - 0 - 0 - 0 - 0 - 0 - 0 - 0
JPOS - 0 - 0 - 0 - 0 - 0 - 0 - 0
dekomonte - 0 - 0 - 0 - 0 - 0 - 0 - 0
gabrielbonifacio - 0 - 0 - 0 - 0 - 0 - 0 - 0
AlvaroLeles - 0 - 0 - 0 - 0 - 0 - 0 - 0
guichter - 0 - 0 - 0 - 0 - 0 - 0 - 0
buendia - 0 - 0 - 0 - 0 - 0 - 0 - 0
luis_marques - 0 - 0 - 0 - 0 - 0 - 0 - 0
nifrasson - 0 - 0 - 0 - 0 - 0 - 0 - 0
gabrielpreihs - 0 - 0 - 0 - 0 - 0 - 0 - 0
Dotarakotara - 0 - 0 - 0 - 0 - 0 - 0 - 0
IanFPFerreira - 0 - 0 - 0 - 0 - 0 - 0 - 0
heronsousa - 0 - 0 - 0 - 0 - 0 - 0 - 0
luisRSlima - 0 - 0 - 0 - 0 - 0 - 0 - 0
eulerdesoja - 0 - 0 - 0 - 0 - 0 - 0 - 0
DenysRogeres - 0 - 0 - 0 - 0 - 0 - 0 - 0
LuizGSTV - 0 - 0 - 0 - 0 - 0 - 0 - 0
tutusl - 0 - 0 - 0 - 0 - 0 - 0 - 0
thiagohdaqw - 0 - 0 - 0 - 0 - 0 - 0 - 0
Mexazonic - 0 - 0 - 0 - 0 - 0 - 0 - 0
braz - 0 - 0 - 0 - 0 - 0 - 0 - 0
SousaPedroso - 0 - 0 - 0 - 0 - 0 - 0 - 0
Eyousef - 0 - 0 - 0 - 0 - 0 - 0 - 0
lc0 - 0 - 0 - 0 - 0 - 0 - 0 - 0
Carrael - 0 - 0 - 0 - 0 - 0 - 0 - 0
JoaoLucasPinto - 0 - 0 - 0 - 0 - 0 - 0 - 0
Artlima - 0 - 0 - 0 - 0 - 0 - 0 - 0
jp5876 - 0 - 0 - 0 - 0 - 0 - 0 - 0
RafaelBP02 - 0 - 0 - 0 - 0 - 0 - 0 - 0
pedrol3001 - 0 - 0 - 0 - 0 - 0 - 0 - 0
gabi42 - 0 - 0 - 0 - 0 - 0 - 0 - 0
sudjoao - 0 - 0 - 0 - 0 - 0 - 0 - 0
Anaray - 0 - 0 - 0 - 0 - 0 - 0 - 0
biancasofia - 0 - 0 - 0 - 0 - 0 - 0 - 0
julianavalle - 0 - 0 - 0 - 0 - 0 - 0 - 0
Tonet - 0 - 0 - 0 - 0 - 0 - 0 - 0
mrlucasrib - 0 - 0 - 0 - 0 - 0 - 0 - 0
DantasB - 0 - 0 - 0 - 0 - 0 - 0 - 0
costadev00 - 0 - 0 - 0 - 0 - 0 - 0 - 0
megadiver - 0 - 0 - 0 - 0 - 0 - 0 - 0
nondvcordvco - 0 - 0 - 0 - 0 - 0 - 0 - 0
mrmurilo75 - 0 - 0 - 0 - 0 - 0 - 0 - 0
callmeGalo - 0 - 0 - 0 - 0 - 0 - 0 - 0
zikadozap - 0 - 0 - 0 - 0 - 0 - 0 - 0
WishIII - 0 - 0 - 0 - 0 - 0 - 0 - 0
gleal17 - 0 - 0 - 0 - 0 - 0 - 0 - 0
Larv4 - 0 - 0 - 0 - 0 - 0 - 0 - 0
EduardoRibeiro - 0 - 0 - 0 - 0 - 0 - 0 - 0
vt19 - 0 - 0 - 0 - 0 - 0 - 0 - 0
MateusCM - 0 - 0 - 0 - 0 - 0 - 0 - 0
hos1r1s - 0 - 0 - 0 - 0 - 0 - 0 - 0
Leonardi - 0 - 0 - 0 - 0 - 0 - 0 - 0
MarcosPH - 0 - 0 - 0 - 0 - 0 - 0 - 0
gustavoasb - 0 - 0 - 0 - 0 - 0 - 0 - 0
GustavoEinstein - 0 - 0 - 0 - 0 - 0 - 0 - 0
enzaum - 0 - 0 - 0 - 0 - 0 - 0 - 0
uires3 - 0 - 0 - 0 - 0 - 0 - 0 - 0
caio_oliveira - 0 - 0 - 0 - 0 - 0 - 0 - 0
asafe_souza - 0 - 0 - 0 - 0 - 0 - 0 - 0
lucasfn55 - 0 - 0 - 0 - 0 - 0 - 0 - 0
Vithu_u - 0 - 0 - 0 - 0 - 0 - 0 - 0
Kaua_vini - 0 - 0 - 0 - 0 - 0 - 0 - 0
LuizPettengill - 0 - 0 - 0 - 0 - 0 - 0 - 0
S1las - 0 - 0 - 0 - 0 - 0 - 0 - 0
glaucogithub - 0 - 0 - 0 - 0 - 0 - 0 - 0
zparizotto - 0 - 0 - 0 - 0 - 0 - 0 - 0
joaovictorps28 - 0 - 0 - 0 - 0 - 0 - 0 - 0
tms_vel - 0 - 0 - 0 - 0 - 0 - 0 - 0
ErickSantos - 0 - 0 - 0 - 0 - 0 - 0 - 0
ZerglingF2A - 0 - 0 - 0 - 0 - 0 - 0 - 0
cfreitas - 0 - 0 - 0 - 0 - 0 - 0 - 0
rogeriojunior - 0 - 0 - 0 - 0 - 0 - 0 - 0
PedroGodoy - 0 - 0 - 0 - 0 - 0 - 0 - 0
RamiroDk - 0 - 0 - 0 - 0 - 0 - 0 - 0
RaulR - 0 - 0 - 0 - 0 - 0 - 0 - 0
giulias - 0 - 0 - 0 - 0 - 0 - 0 - 0
raulmax319 - 0 - 0 - 0 - 0 - 0 - 0 - 0
scpro - 0 - 0 - 0 - 0 - 0 - 0 - 0
Dhominicx - 0 - 0 - 0 - 0 - 0 - 0 - 0
Duda03 - 0 - 0 - 0 - 0 - 0 - 0 - 0
NBO2001 - 0 - 0 - 0 - 0 - 0 - 0 - 0
Raquel_99 - 0 - 0 - 0 - 0 - 0 - 0 - 0
jabbud - 0 - 0 - 0 - 0 - 0 - 0 - 0
lucasfrancisco - 0 - 0 - 0 - 0 - 0 - 0 - 0
senaarth - 0 - 0 - 0 - 0 - 0 - 0 - 0
LandersonMiguel - 0 - 0 - 0 - 0 - 0 - 0 - 0
jef771 - 0 - 0 - 0 - 0 - 0 - 0 - 0
Korhal - 0 - 0 - 0 - 0 - 0 - 0 - 0
Veecstart - 0 - 0 - 0 - 0 - 0 - 0 - 0
alanvictor48 - 0 - 0 - 0 - 0 - 0 - 0 - 0
arrais - 0 - 0 - 0 - 0 - 0 - 0 - 0
serjola - 0 - 0 - 0 - 0 - 0 - 0 - 0
thgomes - 0 - 0 - 0 - 0 - 0 - 0 - 0
voidOfLeaves - 0 - 0 - 0 - 0 - 0 - 0 - 0
Alessi181 - 0 - 0 - 0 - 0 - 0 - 0 - 0
AlexandreLJr - 0 - 0 - 0 - 0 - 0 - 0 - 0
Alfredo - 0 - 0 - 0 - 0 - 0 - 0 - 0
Anria - 0 - 0 - 0 - 0 - 0 - 0 - 0
Bubbaloo - 0 - 0 - 0 - 0 - 0 - 0 - 0
DanielAlen - 0 - 0 - 0 - 0 - 0 - 0 - 0
Gasperlk - 0 - 0 - 0 - 0 - 0 - 0 - 0
GustavoRG - 0 - 0 - 0 - 0 - 0 - 0 - 0
Italo_Serra - 0 - 0 - 0 - 0 - 0 - 0 - 0
JoaoPedroCNMota - 0 - 0 - 0 - 0 - 0 - 0 - 0
Kadu_Banjar - 0 - 0 - 0 - 0 - 0 - 0 - 0
Kvothe - 0 - 0 - 0 - 0 - 0 - 0 - 0
NathanCarvalho - 0 - 0 - 0 - 0 - 0 - 0 - 0
Paloma - 0 - 0 - 0 - 0 - 0 - 0 - 0
RafaelSetton - 0 - 0 - 0 - 0 - 0 - 0 - 0
Rafaelsnr - 0 - 0 - 0 - 0 - 0 - 0 - 0
Sho5_myzk - 0 - 0 - 0 - 0 - 0 - 0 - 0
Talyson - 0 - 0 - 0 - 0 - 0 - 0 - 0
TheGui01 - 0 - 0 - 0 - 0 - 0 - 0 - 0
VitorM04 - 0 - 0 - 0 - 0 - 0 - 0 - 0
Vitoria_go - 0 - 0 - 0 - 0 - 0 - 0 - 0
acnmc - 0 - 0 - 0 - 0 - 0 - 0 - 0
alcidestiago07 - 0 - 0 - 0 - 0 - 0 - 0 - 0
artistrea - 0 - 0 - 0 - 0 - 0 - 0 - 0
eddiescj - 0 - 0 - 0 - 0 - 0 - 0 - 0
joao - 0 - 0 - 0 - 0 - 0 - 0 - 0
mainomcs - 0 - 0 - 0 - 0 - 0 - 0 - 0
mfbouzon - 0 - 0 - 0 - 0 - 0 - 0 - 0
miumiumodm - 0 - 0 - 0 - 0 - 0 - 0 - 0
pvc - 0 - 0 - 0 - 0 - 0 - 0 - 0
sandmangil - 0 - 0 - 0 - 0 - 0 - 0 - 0
sfooterbr - 0 - 0 - 0 - 0 - 0 - 0 - 0
uashuahsuh - 0 - 0 - 0 - 0 - 0 - 0 - 0
victor_aranha - 0 - 0 - 0 - 0 - 0 - 0 - 0
vini_ara - 0 - 0 - 0 - 0 - 0 - 0 - 0
yatovit - 0 - 0 - 0 - 0 - 0 - 0 - 0
